,Value
0,#content
1,https://www.facebook.com/altnews.in
2,https://twitter.com/altnews
3,https://instagram.com/altnews.in
4,https://www.youtube.com/AltNewsVIdeos
5,https://www.altnews.in/feed/
6,javascript:void(0)
7,https://www.altnews.in/
8,https://www.altnews.in
9,https://www.altnews.in/donate/
10,https://www.altnews.in/hindi/
11,https://www.altnews.in/about/
12,https://www.altnews.in/editorial-policy/
13,https://www.altnews.in/alt-news-policy-on-hate-speech/
14,https://www.altnews.in/methodology-for-fact-checking/
15,https://www.altnews.in/sourcing-of-information/
16,https://www.altnews.in/privacy-policy/
17,https://www.altnews.in/transparency-of-funding/
18,https://www.altnews.in/editorial-team/
19,https://www.altnews.in/directors/
20,https://www.altnews.in/correction-policy/
21,https://www.altnews.in/contact/
22,https://www.altnews.in/subscribe-alt-news-via-email/
23,javascript:void(0)
24,javascript:void(0)
25,https://www.altnews.in/
26,javascript:void(0)
27,https://www.altnews.in/alt-news-investigation-multiple-handles-run-bogus-fundraisers-on-x-benefiting-a-certain-sandeep-mandal/
28,https://www.altnews.in/topics/politics/
29,https://www.altnews.in/alt-news-investigation-multiple-handles-run-bogus-fundraisers-on-x-benefiting-a-certain-sandeep-mandal/
30,https://www.altnews.in/author/abhishekkumar/
31,https://www.altnews.in/author/oishani/
32,https://www.altnews.in/author/mzubair/
33,https://www.altnews.in/viral-exclusive-video-of-virat-kohli-at-ram-mandir-consecration-is-actually-an-old-clip-from-a-ganesh-chaturthi-event/
34,https://www.altnews.in/topics/politics/
35,https://www.altnews.in/viral-exclusive-video-of-virat-kohli-at-ram-mandir-consecration-is-actually-an-old-clip-from-a-ganesh-chaturthi-event/
36,https://www.altnews.in/author/oishani/
37,https://www.altnews.in/burj-khalifa-photo-with-hindu-deity-rams-image-projected-on-it-is-edited/
38,https://www.altnews.in/topics/politics/
39,https://www.altnews.in/burj-khalifa-photo-with-hindu-deity-rams-image-projected-on-it-is-edited/
40,https://www.altnews.in/author/shinjinee/
41,https://www.altnews.in/fight-over-akshata-distribution-injures-4-in-karnataka-rahul-shivshankar-calls-it-hindumesia-in-misleading-tweet/
42,https://www.altnews.in/topics/politics/
43,https://www.altnews.in/fight-over-akshata-distribution-injures-4-in-karnataka-rahul-shivshankar-calls-it-hindumesia-in-misleading-tweet/
44,https://www.altnews.in/author/shinjinee/
45,https://www.altnews.in/an-mba-from-australia-neha-patel-now-leads-violent-cow-vigilantes-in-gujarat/
46,https://www.altnews.in/topics/politics/
47,https://www.altnews.in/an-mba-from-australia-neha-patel-now-leads-violent-cow-vigilantes-in-gujarat/
48,https://www.altnews.in/author/oishani/
49,https://www.altnews.in/false-claim-viral-that-construction-of-ram-temple-is-3-km-away-from-babri-masjid/
50,https://www.altnews.in/topics/politics/
51,https://www.altnews.in/false-claim-viral-that-construction-of-ram-temple-is-3-km-away-from-babri-masjid/
52,https://www.altnews.in/author/abhishekkumar/
53,https://www.altnews.in/donate/
54,https://www.altnews.in/visuals-from-bangladesh-short-film-shared-with-false-claim-to-target-madarsa-in-india/
55,https://www.altnews.in/visuals-from-bangladesh-short-film-shared-with-false-claim-to-target-madarsa-in-india/
56,https://www.altnews.in/author/priyanka-jha/
57,https://www.altnews.in/viral-video-doctor-sexually-assaulting-patient-is-giovanni-quintella-bezerra-from-brazil-not-islam-mohammad/
58,https://www.altnews.in/viral-video-doctor-sexually-assaulting-patient-is-giovanni-quintella-bezerra-from-brazil-not-islam-mohammad/
59,https://www.altnews.in/author/kalimahmed/
60,https://www.altnews.in/fact-check-viral-manmohan-singh-tweets-praising-narendra-modi-are-fake/
61,https://www.altnews.in/fact-check-viral-manmohan-singh-tweets-praising-narendra-modi-are-fake/
62,https://www.altnews.in/author/oishani/
63,https://www.altnews.in/alt-news-investigation-multiple-handles-run-bogus-fundraisers-on-x-benefiting-a-certain-sandeep-mandal/
64,https://www.altnews.in/alt-news-investigation-multiple-handles-run-bogus-fundraisers-on-x-benefiting-a-certain-sandeep-mandal/
65,https://www.altnews.in/author/abhishekkumar/
66,https://www.altnews.in/author/oishani/
67,https://www.altnews.in/author/mzubair/
68,https://www.altnews.in/three-of-bangladeshi-hindu-family-killed-by-relative-crime-falsely-communalized-by-indian-x-users/
69,https://www.altnews.in/three-of-bangladeshi-hindu-family-killed-by-relative-crime-falsely-communalized-by-indian-x-users/
70,https://www.altnews.in/author/shinjinee/
71,https://www.altnews.in/kharge-did-not-admit-defeat-by-acceding-400-seats-to-bjp-clipped-video-shared-by-union-ministers/
72,https://www.altnews.in/kharge-did-not-admit-defeat-by-acceding-400-seats-to-bjp-clipped-video-shared-by-union-ministers/
73,https://www.altnews.in/author/shinjinee/
74,https://www.altnews.in/ladder-walking-its-a-phenomenon-called-passive-dynamic-walking-nothing-paranormal-about-it/
75,https://www.altnews.in/ladder-walking-its-a-phenomenon-called-passive-dynamic-walking-nothing-paranormal-about-it/
76,https://www.altnews.in/author/shinjinee/
77,https://www.altnews.in/misleading-video-claiming-dry-ginger-can-cure-omicron-is-scientifically-baseless/
78,https://www.altnews.in/author/archit-mehta/
79,https://www.altnews.in/stone-dissolve-iron-false-claim-that-its-a-miracle-stone-found-in-afganistan/
80,https://www.altnews.in/author/kinjal/
81,https://www.altnews.in/fake-chart-shows-covid-19-variant-timeline-predicting-release-dates/
82,https://www.altnews.in/author/archit-mehta/
83,javascript:void(0)
84,https://www.facebook.com/altnews.in/
85,https://twitter.com/altnews
86,https://www.altnews.in/karnataka-sslc-exam-paper-scheduled-in-2nd-half-on-friday-to-avoid-clash-with-pre-uni-test-bjp-sees-appeasement/
87,https://www.altnews.in/topics/politics/
88,https://www.altnews.in/karnataka-sslc-exam-paper-scheduled-in-2nd-half-on-friday-to-avoid-clash-with-pre-uni-test-bjp-sees-appeasement/
89,https://www.altnews.in/author/oishani/
90,https://www.altnews.in/author/oishani/
91,https://www.altnews.in/kharge-did-not-admit-defeat-by-acceding-400-seats-to-bjp-clipped-video-shared-by-union-ministers/
92,https://www.altnews.in/topics/politics/
93,https://www.altnews.in/kharge-did-not-admit-defeat-by-acceding-400-seats-to-bjp-clipped-video-shared-by-union-ministers/
94,https://www.altnews.in/author/shinjinee/
95,https://www.altnews.in/author/shinjinee/
96,https://creativecommons.org/licenses/by/3.0/
