aria_label,thumbnail_hrefs,link_hrefs
"Emeritus Prof Christopher May, Defend our #libraries (from @tomgauld) @bookstodon, Feb 10, 02:30 PM, ChrisMayLA6@zirk.us",https://cdn.masto.host/zirkus/media_attachments/files/111/906/473/092/949/249/original/a224a4770ec78b0a.png,
"nixCraft 🐧, Oh nooos. Is Vim losing the restaurant menu editor war?, Feb 10, 02:47 PM, nixCraft",https://files.mastodon.social/media_attachments/files/111/906/540/004/860/081/original/17e9b6524092589b.png,
"dansup 🚀, 58% of all Pixelfed users are on instances that have updated to the latest version (v0.11.11) that contains an important security bugfix.Keep in mind this version was only released 5 hours ago.Great job  admins! #pixelfed, Feb 10, 02:30 PM, dansup",,
"Aral Balkan, The problem is we expect incontrovertible proof from scientists yet accept any old bullshit from politicians., Feb 10, 01:33 PM, aral@mastodon.ar.al",,
"Auschwitz Memorial, 10 February 1932 | German Jewish girl, Ruth Mentzel, was born in Berlin. She emigrated to France.She was deported to Auschwitz from Drancy on 31 July 1944. She was murdered in a gas chamber after arrival selection. #Auschwitz #Birkenau #Holocaust #Shoah #Jews #history #Germany #otd #children #France #Berlin #toy #doll, Feb 10, 02:01 PM, auschwitzmuseum@mastodon.world",https://s3.eu-central-2.wasabisys.com/mastodonworld/media_attachments/files/111/906/368/683/426/063/original/806a2cef257561e6.jpeg,
"Jeremy Keith, When people say “RSS is dead” what they really mean is “we couldn’t figure out a way to monetise RSS.” https://adactio.com/notes/20871, Feb 10, 03:22 PM, adactio",,https://adactio.com/notes/20871
"Randahl Fink, It has been 108 days since Republican Mike Johnson was elected Speaker of The House in the US, and Washington has still not delivered the aid package for #Ukraine, because of the chaos that ensued.Spring is coming, Avdiivka is about to fall, and Ukraine is running out of artillery shells.MAGA is a political disease, and if the US has become chronically ill, Europe must step up and take it from here.Our future is on the line., Feb 10, 10:56 AM, randahl",,
"Jo :v_enby: :blobhaj_default:​ :neocat:, , Feb 10, 02:24 PM, ShadowJonathan@tech.lgbt",https://media.tech.lgbt/media_attachments/files/111/906/443/449/646/870/original/50169f4cdb2a81fb.png,
"Whiskers, I can see clearly now - all #Mastodon users.#books #reading #fediverse #fedi, Feb 10, 01:40 PM, ecoscore@aus.social",https://mediacdn.aus.social/media_attachments/files/111/906/277/840/193/537/original/cafb00d1180e644d.jpg,
"Pauline von Hellermann, #ClimateDiary What a time to be alive New research that #Amoc tipping within this century, even quite soon, is a definite possibility:Sea levels would rise by a metre in some regions, inundating many coastal cities. The wet and dry seasons in the Amazon would flip, potentially pushing the already weakened rainforest past its own tipping point. The southern hemisphere would become warmer. Europe would cool dramatically and have less rainfall. https://www.theguardian.com/environment/2024/feb/09/atlantic-ocean-circulation-nearing-devastating-tipping-point-study-finds?CMP=Share_iOSApp_Other, Feb 10, 02:23 PM, pvonhellermannn@mastodon.green",https://files.mastodon.green/media_attachments/files/111/906/455/091/809/465/original/c4731c909b289f30.jpeg,
