Author,Quote,Footer,Image Source
,What special counsel said about Biden’s ‘willful retention’,"By Louis Jacobson • February 9, 2024",
Elon Musk,Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”,,https://static.politifact.com/politifact/rulings/meter-false.jpg
Facebook posts,"""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".",,https://static.politifact.com/politifact/spanish-rulings/tom_ruling_falso.png
Instagram posts,"""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.",,https://static.politifact.com/politifact/rulings/meter-false.jpg
Donald Trump,"In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""",,https://static.politifact.com/politifact/rulings/meter-mostly-false.jpg
Tammy Baldwin,"“Wisconsin had over 1,400 opioid overdose deaths in 2022.”",,https://static.politifact.com/politifact/rulings/meter-true.jpg
Joe Biden,"On classified documents in his possession, “none of it was high classified.”","By Maria Ramirez Uribe • February 9, 2024",https://static.politifact.com/politifact/rulings/meter-false.jpg
Instagram posts,King Charles’ cancer diagnosis is linked to mRNA cancer therapy trial in U.K.,"By Loreben Tuquero • February 9, 2024",https://static.politifact.com/politifact/rulings/meter-false.jpg
Instagram posts,Paper shows “mRNA COVID-19 vaccines caused more deaths” than lives saved.,"By Sara Swann • February 9, 2024",https://static.politifact.com/politifact/rulings/tom_ruling_pof.png
Donald Trump,“I cooperated far more” than Joe Biden in the classified documents investigations.,"By Amy Sherman • February 9, 2024",https://static.politifact.com/politifact/rulings/tom_ruling_pof.png
Instagram posts,"""Ukraine puts Tucker Carlson on a ‘hit list’ after an interview with Vladimir Putin.”","By Jeff Cercone • February 9, 2024",https://static.politifact.com/politifact/rulings/meter-false.jpg
Facebook posts,"""NYC to give ILLEGALS $53 Million in Prepaid Credit Cards.""","By Kwasi Gyamfi Asiedu • February 9, 2024",https://static.politifact.com/politifact/rulings/meter-mostly-false.jpg
Instagram posts,"In an interview with Tucker Carlson, Russian President Vladimir Putin said he finds the U.S.-Mexico border issue “ironically amusing.”","By Sara Swann • February 9, 2024",https://static.politifact.com/politifact/rulings/tom_ruling_pof.png
TikTok posts,"""El Senado de EE. UU. ha dado luz verde a un acuerdo que cierra inmediatamente las fronteras del país y limitará todas las peticiones de asilo y apelaciones”.","By Maria Briceño • February 9, 2024",https://static.politifact.com/politifact/spanish-rulings/tom_ruling_falso.png
Robin Vos,“The law in Wisconsin (on abortion time limit) is 20 weeks. That is way outside the international bounds.”,"By D.L. Davis • February 9, 2024",https://static.politifact.com/politifact/rulings/meter-mostly-false.jpg
Viral image,Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”,"By Grace Abels • February 8, 2024",https://static.politifact.com/politifact/rulings/tom_ruling_pof.png
Joe Biden,Forgive student loan debt from public colleges and universities,"Biden unveils new round of incremental student loan relief
| October 10, 2023",
Joe Biden,Increase refugee admissions,"Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023",
Joe Biden,"Expand broadband, or wireless broadband via 5G, to every American","Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023",
Joe Biden,Expand Justice Department power to address police misconduct,"Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023",
Joe Biden,Use a national commission to address policing issues,"Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023",
Elon Musk,Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”,"By Amy Sherman • February 6, 2024",https://static.politifact.com/politifact/rulings/meter-false.jpg
Facebook posts,"""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".","By Marta Campabadal Graus • February 6, 2024",https://static.politifact.com/politifact/spanish-rulings/tom_ruling_falso.png
Instagram posts,"""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.","By Jeff Cercone • February 6, 2024",https://static.politifact.com/politifact/rulings/meter-false.jpg
Donald Trump,"In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""","By Louis Jacobson • February 6, 2024",https://static.politifact.com/politifact/rulings/meter-mostly-false.jpg
Tammy Baldwin,"“Wisconsin had over 1,400 opioid overdose deaths in 2022.”","By Laura Schulte • February 6, 2024",https://static.politifact.com/politifact/rulings/meter-true.jpg
